Time,Engine RPM,Speed,Gear,Voltage,IAT,ECT,TPS,MAP,Lambda Ratio,Oil Temperature,Oil Pressure
sec,rpm,kmh,int,v,c,c,int,kpa,int,c,p
01.836,872,0,1,13,31,72,0,36,0,36,39738
01.936,865,0,1,14,31,72,0,35,0,36,39738
02.36,865,0,1,14,31,72,0,36,0,36,40155
02.136,872,0,1,13,31,72,0,36,0,36,40155
02.237,852,0,1,14,31,72,0,35,0,36,40155
02.337,841,0,1,13,31,72,0,36,0,36,39912
02.436,845,0,1,13,31,72,0,35,0,36,39912
02.537,854,0,1,14,31,72,0,36,0,36,39912
02.637,845,0,1,14,31,72,0,35,0,36,39912
02.736,830,0,1,13,31,72,0,37,0,36,39355
02.837,863,0,1,13,31,72,0,37,0,36,39355
02.936,842,0,1,13,31,72,0,36,0,36,39355
03.38,847,0,1,13,31,72,0,37,0,36,39738
03.137,874,0,1,13,31,72,0,37,0,36,39738
03.237,853,0,1,13,31,72,0,36,0,36,39738
03.337,858,0,1,13,31,72,0,36,0,36,39912
03.436,879,0,1,13,31,72,0,36,0,36,39912
03.536,880,0,1,13,31,72,0,36,0,36,39912
03.636,865,0,1,14,31,72,0,35,0,36,40399
03.736,854,0,1,13,31,72,0,36,0,36,40399
03.837,860,0,1,13,31,72,0,34,0,36,40399
03.937,882,0,1,13,31,72,0,35,0,36,40399
04.37,880,0,1,14,31,72,0,34,0,36,39738
04.136,837,0,1,13,31,72,0,35,0,36,39738
04.236,862,0,1,13,31,72,0,35,0,36,39738
04.336,871,0,1,13,31,72,0,35,0,36,39738
04.436,830,0,1,14,31,72,0,35,0,36,39738
04.537,848,0,1,14,31,72,0,35,0,36,39738
04.637,863,0,1,13,31,72,0,35,0,36,39215
04.737,843,0,1,14,31,72,0,35,0,36,39215
04.837,852,0,1,13,31,72,0,35,0,36,39215
04.936,858,0,1,14,31,72,0,35,0,36,40155
05.37,849,0,1,14,31,72,0,35,0,36,40155
05.137,858,0,1,13,31,72,0,35,0,36,40155
05.236,862,0,1,13,31,72,0,35,0,36,38902
05.337,858,0,1,14,31,72,0,35,0,36,39459
05.436,871,0,1,14,31,72,0,35,0,36,39459
05.536,874,0,1,14,31,72,0,34,0,36,39459
05.637,848,0,1,14,31,72,0,35,0,36,38589
05.736,854,0,1,13,31,72,0,35,0,36,38589
05.837,848,0,1,13,31,72,0,35,0,36,38589
05.938,861,0,1,13,31,72,0,35,0,36,38589
06.36,872,0,1,14,31,72,0,34,0,36,38589
06.136,873,0,1,13,31,72,0,35,0,36,38589
06.236,852,0,1,13,31,72,0,36,0,36,40225
06.336,840,0,1,13,31,72,0,35,0,36,40225
06.436,866,0,1,14,31,72,0,35,0,36,40225
06.536,880,0,1,14,31,72,0,35,0,36,39529
06.636,849,0,1,14,31,72,0,35,0,36,39529
06.737,864,0,1,14,31,72,0,35,0,36,39912
06.837,874,0,1,14,31,72,0,35,0,36,39912
06.937,842,0,1,13,31,72,0,35,0,36,38832
07.37,867,0,1,14,31,72,0,35,0,36,38832
07.137,883,0,1,13,31,72,0,36,0,36,38832
07.237,868,0,1,13,31,72,0,35,0,36,40051
07.337,862,0,1,13,31,72,0,36,0,36,40051
07.437,843,0,1,14,31,72,0,36,0,36,40051
07.537,854,0,1,13,31,72,0,35,0,37,39598
07.637,868,0,1,14,31,72,0,35,0,37,39598
07.736,845,0,1,13,31,72,0,36,0,37,39598
07.836,857,0,1,13,31,72,0,36,0,36,40016
07.937,873,0,1,13,31,72,0,36,0,36,40016
08.37,844,0,1,13,31,72,0,35,0,37,39598
08.137,854,0,1,13,31,72,0,35,0,37,39598
08.236,870,0,1,14,31,72,0,35,0,37,39598
08.338,891,0,1,13,31,72,0,35,0,37,39181
08.437,837,0,1,13,31,72,0,35,0,37,39181
